Date,History Adj Close,Daily New Cases,Volume,ROE,ROA,PM,EPS,Adj Close
2012-04-23 00:00:00,188.389999,0,3243600,1.7879,0.6392,0.986,0.28,188.240005
2012-04-24 00:00:00,191.070007,0,3481000,1.7879,0.6392,0.986,0.28,190.330002
2012-04-25 00:00:00,191.100006,0,3376300,1.7879,0.6392,0.986,0.28,194.419998
2012-04-26 00:00:00,189.979996,0,3955100,1.7879,0.6392,0.986,0.28,195.990005
2012-04-27 00:00:00,188.240005,0,10234000,1.7879,0.6392,0.986,0.28,226.850006
2012-04-30 00:00:00,190.330002,0,22116900,1.7879,0.6392,0.986,0.28,231.899994
2012-05-01 00:00:00,194.419998,0,9756900,1.7879,0.6392,0.986,0.28,230.039993
2012-05-02 00:00:00,195.990005,0,6754900,1.7879,0.6392,0.986,0.28,230.25
2012-05-03 00:00:00,226.850006,0,4593400,1.7879,0.6392,0.986,0.28,229.449997
2012-05-04 00:00:00,231.899994,0,4055500,1.7879,0.6392,0.986,0.28,223.990005
2012-05-07 00:00:00,230.039993,0,4585200,1.7879,0.6392,0.986,0.28,225.160004
2012-05-08 00:00:00,230.25,0,3314300,1.7879,0.6392,0.986,0.28,223.899994
2012-05-09 00:00:00,229.449997,0,4522400,1.7879,0.6392,0.986,0.28,222.979996
2012-05-10 00:00:00,223.990005,0,3712000,1.7879,0.6392,0.986,0.28,226.690002
2012-05-11 00:00:00,225.160004,0,4648400,1.7879,0.6392,0.986,0.28,227.679993
2012-05-14 00:00:00,223.899994,0,4193600,1.7879,0.6392,0.986,0.28,222.929993
2012-05-15 00:00:00,222.979996,0,3096600,1.7879,0.6392,0.986,0.28,224.389999
2012-05-16 00:00:00,226.690002,0,5713700,1.7879,0.6392,0.986,0.28,224.059998
2012-05-17 00:00:00,227.679993,0,5261800,1.7879,0.6392,0.986,0.28,218.360001
2012-05-18 00:00:00,222.929993,0,4505500,1.7879,0.6392,0.986,0.28,213.850006
2012-05-21 00:00:00,224.389999,0,5231700,1.7879,0.6392,0.986,0.28,218.110001
2012-05-22 00:00:00,224.059998,0,3579800,1.7879,0.6392,0.986,0.28,215.330002
2012-05-23 00:00:00,218.360001,0,3733100,1.7879,0.6392,0.986,0.28,217.279999
2012-05-24 00:00:00,213.850006,0,4243800,1.7879,0.6392,0.986,0.28,215.240005
2012-05-25 00:00:00,218.110001,0,3141100,1.7879,0.6392,0.986,0.28,212.889999
2012-05-29 00:00:00,215.330002,0,2171400,1.7879,0.6392,0.986,0.28,214.75
2012-05-30 00:00:00,217.279999,0,2693900,1.7879,0.6392,0.986,0.28,209.229996
2012-05-31 00:00:00,215.240005,0,4078200,1.7879,0.6392,0.986,0.28,212.910004
2012-06-01 00:00:00,212.889999,0,4944000,1.7879,0.6392,0.986,0.28,208.220001
2012-06-04 00:00:00,214.75,0,3951500,1.7879,0.6392,0.986,0.28,214.570007
2012-06-05 00:00:00,209.229996,0,4299600,1.7879,0.6392,0.986,0.28,213.210007
2012-06-06 00:00:00,212.910004,0,3543900,1.7879,0.6392,0.986,0.28,217.639999
2012-06-07 00:00:00,208.220001,0,2710100,1.7879,0.6392,0.986,0.28,218.800003
2012-06-08 00:00:00,214.570007,0,3503900,1.7879,0.6392,0.986,0.28,218.479996
2012-06-11 00:00:00,213.210007,0,2877000,1.7879,0.6392,0.986,0.28,216.5
2012-06-12 00:00:00,217.639999,0,3749100,1.7879,0.6392,0.986,0.28,216.419998
2012-06-13 00:00:00,218.800003,0,2833300,1.7879,0.6392,0.986,0.28,214.729996
2012-06-14 00:00:00,218.479996,0,2325200,1.7879,0.6392,0.986,0.28,214.449997
2012-06-15 00:00:00,216.5,0,3060900,1.7879,0.6392,0.986,0.28,218.350006
2012-06-18 00:00:00,216.419998,0,3785200,1.7879,0.6392,0.986,0.28,222.660004
2012-06-19 00:00:00,214.729996,0,3369600,1.7879,0.6392,0.986,0.28,224.029999
2012-06-20 00:00:00,214.449997,0,2716600,1.7879,0.6392,0.986,0.28,223.020004
2012-06-21 00:00:00,218.350006,0,2444400,1.7879,0.6392,0.986,0.28,220.570007
